# N: 		 200
# n_min: 	 20
# n_max: 	 40
# alpha: 	 0.01
# D_п: 	 20
# D_з: 	 40
# =========================
# n	c1	betta1		c2	betta2		c3	betta3
20	5	0.814813383	6	0.924301358	6	0.924301358
22	6	0.880004603	6	0.880004603	6	0.880004603
24	6	0.824437853	6	0.824437853	7	0.924261340
26	6	0.759220571	7	0.884302236	7	0.884302236
28	7	0.834478372	7	0.834478372	7	0.834478372
30	7	0.775798476	7	0.775798476	8	0.889621134
32	7	0.710008742	8	0.844615029	8	0.844615029
34	7	0.639362393	8	0.791414264	8	0.791414264
36	8	0.731245698	8	0.731245698	9	0.854675146
38	8	0.665828185	9	0.806187809	9	0.806187809
40	8	0.597188812	9	0.750918449	9	0.750918449
