# N: 		 1000
# n_min: 	 100
# n_max: 	 200
# alpha: 	 0.05
# D_п: 	 100
# D_з: 	 200
# =========================
# 	 n	c1	betta1		c2	betta2		c3	betta3
	100	15	0.115801775	15	0.128505515	15	0.156513135
	110	16	0.079052610	16	0.091481903	17	0.168996001
	120	17	0.053226330	18	0.101867227	18	0.128278703
	130	18	0.035383439	19	0.073240489	19	0.096820850
	140	20	0.040401312	20	0.052339026	20	0.072741027
	150	21	0.026874767	21	0.037216024	22	0.080569021
	160	22	0.017651349	22	0.026353371	23	0.060969403
	170	23	0.011451595	24	0.030451782	24	0.045960423
	180	24	0.007340378	25	0.021730231	25	0.034532793
	190	25	0.004649389	26	0.015450252	26	0.025873704
	200	26	0.002910174	27	0.010950771	28	0.029379579
