# N: 		 1000
# n_min: 	 100
# n_max: 	 200
# alpha: 	 0.01
# D_п: 	 50
# D_з: 	 100
# =========================
# 	 n	c1	betta1		c2	betta2		c3	betta3
	100	10	0.583966092	11	0.703033100	11	0.696776146
	110	11	0.580245741	11	0.579377221	12	0.688696651
	120	12	0.576997703	12	0.576071071	12	0.575965249
	130	12	0.449912256	13	0.573146287	13	0.573044561
	140	13	0.451130040	14	0.570534783	14	0.570436713
	150	14	0.452195372	14	0.460214139	15	0.568089576
	160	14	0.341165961	15	0.461475818	15	0.466744891
	170	15	0.344622738	16	0.462624621	16	0.467738284
	180	16	0.347739459	16	0.365626518	17	0.468647670
	190	16	0.254933987	17	0.369155051	17	0.378361124
	200	17	0.259017671	18	0.372419487	18	0.381421949
