# N: 		 200
# n_min: 	 20
# n_max: 	 40
# alpha: 	 0.01
# D_п: 	 20
# D_з: 	 40
# =========================
# 	 n	c1	betta1		c2	betta2		c3	betta3
	20	5	0.814813383	6	0.913307486	6	0.889326022
	22	6	0.880004603	6	0.867049213	6	0.843645175
	24	6	0.824437853	6	0.811071055	7	0.886666171
	26	6	0.759220571	7	0.868708829	7	0.844921590
	28	7	0.834478372	7	0.818230273	7	0.796975286
	30	7	0.775798476	7	0.760790619	8	0.847237494
	32	7	0.710008742	8	0.825395312	8	0.803314800
	34	7	0.639362393	8	0.773107760	8	0.754769614
	36	8	0.731245698	8	0.715876461	9	0.809649881
	38	8	0.665828185	9	0.784470774	9	0.764851433
	40	8	0.597188812	9	0.731777114	9	0.716624259
